episode,total_episodes,reward_mean,reward_std,handovers_mean,handovers_std,loss
1170,1700,-496.83,599.75,17.5,9.7,2.3352
1180,1700,-749.36,708.64,18.9,15.6,1.4865
1190,1700,-773.95,779.12,24.3,20.4,1.1517
1200,1700,-623.79,618.87,18.3,9.1,1.3811
1210,1700,-704.4,709.09,18.1,15.6,1.7818
1220,1700,-591.5,779.42,25.7,20.8,1.9597
1230,1700,-764.07,534.83,12.7,12.5,1.4289
1240,1700,-619.23,589.38,18.6,11.5,1.7476
1250,1700,-494.18,795.05,25.1,19.8,0.9183
1260,1700,-739.32,556.46,13.1,9.4,1.291
1270,1700,-449.43,376.05,20.7,9.3,1.6604
1280,1700,-705.45,841.94,21.4,19.6,1.2682
1290,1700,-955.37,902.5,9.9,8.7,0.984
1300,1700,-629.41,685.18,20.3,13.4,1.3464
1310,1700,-724.7,761.3,18.8,14.9,0.9481
1320,1700,-962.73,814.9,11.8,6.9,1.8719
1330,1700,-523.37,665.84,19.1,14.9,1.4485
1340,1700,-662.54,569.35,19.0,14.1,1.0822
1350,1700,-901.71,801.58,15.2,11.8,1.0016
1360,1700,-589.32,641.03,16.4,12.7,1.8714
1370,1700,-702.75,504.04,19.4,17.8,1.0978
1380,1700,-672.87,593.39,16.1,9.6,1.5477
1390,1700,-644.69,742.39,17.3,11.2,1.4863
1400,1700,-738.56,891.08,18.6,17.1,1.4855
1410,1700,-873.58,589.58,10.6,7.1,1.1809
1420,1700,-566.88,715.16,20.6,11.8,1.3442
1430,1700,-502.06,472.8,18.1,13.0,1.6388
1440,1700,-1008.14,759.99,7.9,5.8,2.0451
1450,1700,-626.51,696.85,19.5,13.4,1.6627
1460,1700,-511.37,852.95,19.6,12.5,0.9535
1470,1700,-962.02,686.11,8.9,6.1,1.7523
1480,1700,-454.29,541.76,17.7,11.5,1.4766
1490,1700,-657.95,935.7,16.4,15.1,1.858
1500,1700,-635.3,670.24,11.9,5.8,1.3052
1510,1700,-545.12,614.52,19.0,12.1,1.0448
1520,1700,-803.93,827.09,15.1,12.6,0.9525
1530,1700,-767.08,717.5,11.1,7.1,1.1964
1540,1700,-468.28,725.32,19.8,10.5,1.1952
1550,1700,-840.07,769.55,13.5,11.0,1.048
1560,1700,-1079.69,851.04,8.5,8.8,1.2269
1570,1700,-550.74,527.65,17.2,10.6,1.4644
1580,1700,-756.9,895.12,16.1,12.0,1.2112
1590,1700,-1207.9,982.81,9.4,9.3,0.8026
1600,1700,-648.55,906.23,16.6,11.2,1.0816
1610,1700,-549.54,416.61,14.4,11.3,1.4838
1620,1700,-653.57,647.64,10.4,7.3,1.2589
1630,1700,-395.49,598.25,16.4,11.0,1.0287
1640,1700,-802.65,800.78,13.2,12.7,1.0032
1650,1700,-590.33,398.74,9.3,3.7,2.3399
1660,1700,-400.3,512.23,17.1,11.5,1.4598
1670,1700,-895.01,841.78,10.8,9.7,1.1816
1680,1700,-708.37,696.71,10.4,6.8,1.3002
1690,1700,-522.28,549.41,16.9,11.0,1.1701
1700,1700,-753.14,691.31,12.5,8.6,1.0114
